title,authors,genre,thumbnail,description,average_rating,main_genre
The Adventures of Tom Sawyer,Mark Twain,juvenile fiction,http://books.google.com/books/content?id=t5yFTpIJYhcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,the adventures and pranks of a mischievous boy growing up in a mississippi river town in the early nineteenth century,3.91,Children
The Easy Way to Stop Smoking,Allen Carr,self-help,http://books.google.com/books/content?id=cN_xAuodABgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,presents the easyway method for quitting smoking based on a factual understanding of the harm of cigarette addiction and practical advice on how to successfully break the habit,4.29,Non-Fiction
Making and Mastering Wood Planes,David Finck;James Krenov,crafts & hobbies,http://books.google.com/books/content?id=jlgtNgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,the classic guide by master woodworker david finck is back and better than ever with allnew color photography its the best book ever on this popular tooland it features a foreword by the celebrated woodworker james krenov serves as an elegant framework for teaching many of the fundamentals of fine woodworkingwoodshop news small and extremely comfortable to use wooden hand planes bring machined surfaces to an alluring silky smoothnessbut they cant be bought anywhere fortunately this meticulously complete photopacked guide is like two volumes in one teaching you how to make a classic plane yourself it takes only a day or so and how to use it in a refined manner one of the most respected woodworkers around digs deeply into the art of crafting and working with this personalized tool helping even the most uninitiated with dozens of detailed boxed sidebars on the basics every step in the construction process receives extremely close attention preparing the plane blank bandsaw pointers drift angle tension tuning and using hand tools sharpening with ease speed and reliability cross pin location and gluing up handle the plane well to get a good stroke going and take a look at invaluable planning aids and special techniques theres no other manual on the market to match this woodworking masterpiece,4.1,Non-Fiction
The Adventures of Huckleberry Finn,Mark Twain,juvenile fiction,http://books.google.com/books/content?id=pi1gC_BNWtcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a nineteenthcentury boy floating down the mississippi river on a raft with a runaway slave becomes involved with a feuding family two scoundrels pretending to be royalty and tom sawyers aunt who mistakes him for tom,3.81,Children
Gulliver's Travels,Martin Woodside;Jonathan Swift;Jamel Akib,juvenile fiction,http://books.google.com/books/content?id=qk8ps8dtZgIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,an abridged version of the voyages of an eighteenthcentury englishman that carry him to such strange places as lilliput where people are six inches tall and brobdingnag a land peopled by giants,3.93,Children
The Book of the Dragon,Unknown,fiction,http://books.google.com/books/content?id=lCaRUdo-rtcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,illustrations of dragons along with information about the fantasy creatures such as culture and customs legends and types of dragons,4.18,Fiction
Off to Sea,Robert Louis Stevenson;Catherine Nichols,juvenile fiction,http://books.google.com/books/content?id=vSY8fGIsJTsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a brief simplified retelling of the episode in treasure island during which jim hawkins and his friends set sail in search of a pirates treasure and jim meets long john silver who he soon learns is not a friend at all,4.17,Children
Lila's Child,Dan Glover,computers,http://books.google.com/books/content?id=JcBh4L-fj5EC&printsec=frontcover&img=1&zoom=1&source=gbs_api,secular faith revolves around the friendship of two men one christian and the other atheist the difference in their perspectives where faith and reason seem to diverge forms the underlying tension that propels the storyline when an unlikely sequence of fortune and misfortune seems divinely influenced and leads them to interpret events differently it produces conflicting judgments on how to react and their friendship is put to the test counteracting the wedge that pushes them apart is the human drive to grasp the spiritual meaning of existence because it is not enough to agree to disagree each is driven to bring the other to his view in order to affirm that it represents truth their actions are influenced not by a god who intervenes in the matters of mankind but by belief of whether or not he does ultimately they discover that a man is defined by his actions and not by what he believes to be true morality exists to guide actions not thoughts the story of tom dagney and christopher pierce represents the struggle between belief and nonbelief within men who by their very nature doubt that which they profess to believe and struggle to understand this dichotomy how belief translates into behavior proves far more intriguing than scholarly debate about philosophical perspectives caring about what people think pales compared to the passions aroused by how they live this story of friendship love envy tragedy and redemption gives breath to philosophy and life to the struggle to identify human purpose above all secular faith exemplifies that without a doubt a man who puts aside his faith to serve his friends will always be a better man than one who puts aside his friends to serve his faith,3.6,Non-Fiction
"V.S. Naipaul, Second Edition",Bruce King,literary criticism,http://books.google.com/books/content?id=uVZzQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,this revised and updated introduction to the novels and nonfiction of vs naipaul will be of interest to students specialists and general readers chronological chapters examine the structure significance and development of naipauls writing setting the texts in their autobiographical philosophical social and political colonial and postcolonial contexts new chapters in the second edition include an expanded biographical introduction and discussion of the recent novels a way in the world and half a life naipauls writings on islam and the criticism of naipaul by writers and postcolonial theorists,2.0,Non-Fiction
EntreMundos/AmongWorlds,AnaLouise Keating,literary collections,http://books.google.com/books/content?id=XYXgPjlnYqwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,entremundos offers a multidisciplinary investigation of the concepts impact and writings of contemporary cultural theorist and creative writer gloria anzaldua her work which is frequently anthologized and often cited as well as widely taught at the high school undergraduate and graduate level has challenged and expanded previous views in american studies chicanoa studies composition studies cultural studies ethnic studies feminism literary studies critical pedagogy and queer theory here scholars from a number of disciplines gather to reflect critically and anecdotally on anzalduas writing her ideas and the wider significance of her work highlighting some of anzaldas lesser explored theories entremundos challenges readers to reexamine anzaldas writings and theorizing from additional perspectives the goal is to broaden anzaldan scholarship shifting the conversation in new directions while underscoring the visionary yet pragmatic socialjustice dimensions of her work,4.47,Non-Fiction
Strawberry Days,David A. Neiwert,history,http://books.google.com/books/content?id=iO3zwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,strawberry days tells the vivid and moving tale of the creation and destruction of a japanese immigrant community before world war ii bellevue the nowbooming edge city on the outskirts of seattle was a prosperous farm town renowned for its strawberries many of its farmers were recent japanese immigrants who despite being rejected by white society were able to make a living cultivating the rich soil yet the lives they created for themselves through years of hard work vanished almost instantly after the bombing of pearl harbor david neiwert combines compelling storytelling with firsthand interviews and newly uncovered documents to weave together the history of this community and the racist schemes that prevented the immigrants from reclaiming their land after the war ultimately strawberry days represents more than one communitys story reminding us that bigotrys roots are deeply entwined in the very fiber of american society,3.97,Non-Fiction
Tolkien's Modern Middle Ages,J. Chance;A. Siewers,literary criticism,http://books.google.com/books/content?id=3r_9wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,jrr tolkien delved into the middle ages to create a critique of the modern world in his fantasy yet did so in a form of modernist literature with postmodern implications and huge commercial success these essays examine that paradox and its significance in understanding the intersection between traditionalist and counterculture criticisms of the modern the approach helps to explain the popularity of his works the way in which they continue to be brought into dialogue with twentyfirst century issues and their contested literary significance in the academy,3.59,Non-Fiction
How to Read a Poem,Terry Eagleton,literary criticism,http://books.google.com/books/content?id=mU7FZ7W-TkoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,lucid entertaining and full of insight how to read a poem is designed to banish the intimidation that too often attends the subject of poetry and in doing so to bring it into the personal possession of the students and the general reader offers a detailed examination of poetic form and its relation to content takes a wide range of poems from the renaissance to the present day and submits them to brilliantly illuminating closes analysis discusses the work of major poets including john milton alexander pope john keats christina rossetti emily dickinson wb yeats robert frost whauden seamus heaney derek mahon and many more includes a helpful glossary of poetic terms,3.75,Non-Fiction
Christian Theology,Alister E. McGrath,religion,http://books.google.com/books/content?id=tHlY94UWi3UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,alister mcgraths internationallyacclaimed christian theology an introduction is one of the most widely used textbooks in christian theology fully revised and featuring lots of new material this fourth edition provides an unparalleled introduction to 2000 years of christian thought a fully revised new edition of the bestselling introductory textbook in christian theology features new sections on monastic schools of theology the english reformation and radical orthodoxy includes increased discussion of women in the early church feminist theology eastern orthodox theology and history and catholic teachings on the doctrine of the church incorporates userfriendly key terms sections and study questions supported by a website at wwwblackwellpublishingcommcgrath containing additional lecturer resources,4.04,Non-Fiction
South Park and Philosophy,Robert Arp,philosophy,http://books.google.com/books/content?id=BJq0Z8gtO2kC&printsec=frontcover&img=1&zoom=1&source=gbs_api,if you think saddam and satan make a kinky couple wait till you get a load of south park and philosophy get your big wheels ready because were going for a ride as 22 philosophers take us down the road to understanding the bigpicture issues in this small mountain town a smart and candid look at one of televisions most subversive and controversial shows celebrating its 10th anniversary this year draws close parallels between the irreverent nature of south park and the inquiring and skeptical approach of philosophy addresses the perennial questions of the show and the contemporary social and political issues that inspire each episode uses familiar characters and episodes to illustrate topics such as moral relativism freedom of expression gay marriage blasphemy democracy feminism animal ethics existential questions and much more makes you laugh out loud,3.41,Non-Fiction
The Faraway Tree Stories,Enid Blyton,"children's stories, english",http://books.google.com/books/content?id=2d93OAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,jo bessie and fanny move to the country and find an enchanted wood right on their doorstep and in the wood stands the magic faraway tree and in that tree live the magical characters that soon become their new friends moonface silky the fairy and saucepan man together they climb through the clouds to the top of the tree and discover the land of spells the land of secrets and the land of doasyoulike there are lots of magical adventures to read about in this bumper 3in1 edition,4.29,Children
The Mystery of the Disappearing Cat,Enid Blyton,cats,http://books.google.com/books/content?id=V6aEAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,a fantastic childrens crime story from the worlds bestloved childrens author enid blyton lady candlings best siamese cat has gone missing its another mystery for the findouters the gardener luke always seems so friendly he couldnt possibly be the thief or could he all will be revealed in the mystery of the disappearing cat the mystery series follows the adventures of the five find outers pip bets larry daisy and fatty as they solve the most unusual crime cases with the help of their dog buster enid blyton is arguably the most famous childrens author of all time thanks to series such as the wishingchair the faraway tree the mysteries the famous five and the secret seven she has sold over 400 million books in more than 40 languages worldwide her mysteries stories have charmed generations of children and they are as popular today as they have ever been,3.94,Non-Fiction
The Mystery of the Secret Room,Enid Blyton,children's stories,http://books.google.com/books/content?id=msjbAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,a fantastic childrens crime story from the worlds bestloved childrens author enid blyton fatty has discovered an amazing talent for disguise he fools everyone with his french student act even mr goon but when pip discovers a secret room in milton house the children decide to investigate what will they discover in the mystery of the secret room the mystery series follows the adventures of the five find outers pip bets larry daisy and fatty as they solve the most unusual crime cases with the help of their dog buster enid blyton is arguably the most famous childrens author of all time thanks to series such as the wishingchair the faraway tree the mysteries the famous five and the secret seven she has sold over 400 million books in more than 40 languages worldwide her mysteries stories have charmed generations of children and they are as popular today as they have ever been,4.04,Children
Babar the King,Jean de Brunhoff,cities and towns,http://books.google.com/books/content?id=t0FUAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,king babar overseas the building of the elephant town of celestville and the organization of his community of subjects,4.18,Non-Fiction
Den of Thieves,Julia Golding,adventure stories,http://books.google.com/books/content?id=-Sd0AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,the third volume from the heroine cat royal in which the french royal family flee as cat takes her first steps as a dancing spy and witnesses the power of the people,4.21,Fiction
The Pursuit of History,John Tosh;Sean Lang,history,http://books.google.com/books/content?id=L9x8ZuQBIR0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,theessential introduction to the practice of history revised with new features to ensure it is even more popular with students tosh is consistently the bestselling longman history textbook the last 3 editions have achieved total sales of over 83000 copies the use of photos of significant people and events help make the text more lively new layout and design enables readers to understand themes more quickly,3.45,Non-Fiction
Spire,William Golding,fiction,http://books.google.com/books/content?id=gbpftAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,the nations favourite and bestselling study guides,3.59,Fiction
Lost Illusions,Honoré de Balzac,fiction,http://books.google.com/books/content?id=zCOhPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,by the french author who along with flaubert is generally regarded as a foundingfather of realism in european fiction his large output of works collectively entitled the human comedy la comedie humaine consists of 95 finished works stories novels and essays and 48 unfinished works his stories are an attempt to comprehend and depict the realities of life in contemporary bourgeois france they are placed in a variety of settings with characters reappearing in multiple stories,4.16,Fiction
"Israel's Shepherd; Or, Thoughts on the Love of God, Manifested in Christ Jesus. in a Series of Letters",Hardpress,history,http://books.google.com/books/content?id=1q9_yAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,this is a reproduction of the original artefact generally these books are created from careful scans of the original this allows us to preserve the book accurately and present it in the way the author intended since the original versions are generally quite old there may occasionally be certain imperfections within these reproductions were happy to make these classics available again for future generations to enjoy,3.72,Non-Fiction
"The Pronouncing Reading Book for Children, With an Intr., by W.L. Robinson",William L Robinson,history,http://books.google.com/books/content?id=gyiJyAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,this is a reproduction of the original artefact generally these books are created from careful scans of the original this allows us to preserve the book accurately and present it in the way the author intended since the original versions are generally quite old there may occasionally be certain imperfections within these reproductions were happy to make these classics available again for future generations to enjoy,3.66,Non-Fiction
A Commentary Upon the Gospel According to S. Luke,Saint Cyril (patriarch of Alexandria),history,http://books.google.com/books/content?id=MclsyAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,this is a reproduction of the original artefact generally these books are created from careful scans of the original this allows us to preserve the book accurately and present it in the way the author intended since the original versions are generally quite old there may occasionally be certain imperfections within these reproductions were happy to make these classics available again for future generations to enjoy,3.59,Non-Fiction
Collections of the Massachusetts Historical Soceity,Hardpress,history,http://books.google.com/books/content?id=mB3JrQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,this is a reproduction of the original artefact generally these books are created from careful scans of the original this allows us to preserve the book accurately and present it in the way the author intended since the original versions are generally quite old there may occasionally be certain imperfections within these reproductions were happy to make these classics available again for future generations to enjoy,4.13,Non-Fiction
The Story of the Life of Lafayette,Mrs John Farrar,history,http://books.google.com/books/content?id=oVd-yAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,this is a reproduction of the original artefact generally these books are created from careful scans of the original this allows us to preserve the book accurately and present it in the way the author intended since the original versions are generally quite old there may occasionally be certain imperfections within these reproductions were happy to make these classics available again for future generations to enjoy,3.93,Non-Fiction
The End of Nana Sahib,Jules Verne,fiction,http://books.google.com/books/content?id=aBYMAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,this story is dated a few years after the indian mutiny a party of men travel many miles in a wonderful moving house drawn by a marvelous steam elephant their many adventures and the doings of nana sahib the fiend of the mutiny and his final overthrow are very exciting,3.62,Fiction
Existential Meditation,Simon Cleveland,existentialism,http://books.google.com/books/content?id=8-2zkuSOPWsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,in this threepart discourse simon cleveland offers a perspective on life derived partly from the latest scientific theories in cosmology and quantum mechanics and partly from analysis on the works of some of the greatest writers and philosophers of the nineteenth and twentieth centuries the book explores topics such as the meaning of time consciousness and the development of the essence the author also examines the genesis of the concept of immortality,4.91,Non-Fiction
A Million Little Pieces of Feces,Python Bonkers,fiction,http://books.google.com/books/content?id=gkdqQv-aFnAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,selected excerpts and outside reviews can be found by clicking on the blue python bonkers hyperlink this book may share an alphabetical lineage with the frey book but there is no melodramatic redemption here it is not a parody of that book but its own entity as one of the characters from the book says were still involved in the commission of the acts that will require redemption and those stories are always so much more fun bonkers and his bizarre team embarks on a gonzo tear through the streets of los angeles and across the pop cultural landscape as well in his satirical quest for truth in journalism and life he must navigate through the many odd tiers of social class in both the southern california culture and in his machiavellian office life and its absurd red and blue political divisions this is no heartwrenching tale of excess its destination is hilarity so it presses the pedal to the metal and takes no prisoners,3.55,Fiction
The Master and Margarita,Mikhail Afanasevich Bulgakov,fiction,http://books.google.com/books/content?id=Xw_WwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,moscow 1929 a city that has lost its way amid corruption and fear inhabited by people who have abandoned their morals and forsaken spirituality but when a mysterious stranger arrives in town with a bizarre entourage that includes a giant talking cat and a fanged assassin all hell breaks loose among those caught up in the strange and inexplicable events that transpire in the capital are the master a writer whose life has been destroyed by soviet repression and his beloved margarita their adventures reveal a story that began two thousand years ago in ancient jerusalem and its resolution will decide their fate translated by michael karpelson,4.31,Fiction
The Radical Right and the Murder of John F. Kennedy,Harrison E. Livingstone,history,http://books.google.com/books/content?id=LD8TUAGSuMoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,the radical right and the murder of john f kennedy stunning evidence in the assassination of the president harrison e livingstones major new book the fifth of his works on the death of jfk brings together for the first time all of the central evidence demonstrating a domestic right wing conspiracy rooted in texas which assassinated the president on november 22 1963 the book represents forty years of work the book discusses in great detail the actual medical evidence and the forgery of the autopsy photographs and xrays which mr livingstone first exposed the alteration of the autopsy report the framing of the designated patsy lee harvey oswald and the substitution and fabrication of every single piece of evidence it discusses the role played in the murder by some of the most powerful men in the country lyndon johnson j edgar hoover and richard nixon as well as the rich oil men and companies who backed them it then describes the coverups by the media the major investigations over the years the fbi and the mindcontrol cooperation at work in the case to misdirect researchers and the public the book describes in great detail the people and companies in texas who planned and carried out the assassination it names names one recent investigation in the 90s followed mr livingstones preceeding work and reinvestigated with the witnesses both he and the official investigations had talked to but this time took into consideration their documentation and what they had actually said and in a chapter this is his stunning new evidence from the us government under president clinton that is blowing the lid off the case mr livingstone first revealed to the washington press corps in 1998 that there has been such a secret investigation and spoke for fifty minutes when the assassination records review board gave their final press conference as a result mr livingstone was on all major tv networks and on the today show nbc with katie couric the next morning the book also contains the story of dallas doctor charles crenshaws law suit and the depositions of the editor and writer of the journal of american medical association who libeled him in articles in 1992 dr crenshaws book about trying to save kennedy at parkland hospital shortly after the shooting came out on the same day as mr livingstones major work on the medical evidence high treason 2 were jamas targets and the depositions contain much discussion of mr livingstones major impact on the jfk case this new book is to be followed closely by a sixth book entirely about the zapruder film called the hoax of the century decoding the forgery of the zapruder film,3.22,Non-Fiction
A Dracula Handbook,Elizabeth Miller,education,http://books.google.com/books/content?id=uyp0g5Jz318C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,a dracula handbook a dracula handbook provides succinct and accurate information about dracula written for a general readership the book should appeal to aficionados students and the justplaincurious using questionanswer format the book covers a range of topics the origins of the vampire myth the life of bram stoker author of dracula 1897 the novel its genesis and sources the historical figure vlad the impaler whose nickname stoker borrowed for his count an examination of the connection between vlad and count dracula the phenomenal impact the novel has had since its publication and an overview of interpretations of the book also included is a comprehensive reading list here are some of the many questions that are directly answered in the book what are the roots of vampire lore how did vampires move from folklore to literature what do we know about the actual writing of dracula where did bram stoker find his information about vampires are there any autobiographical elements in dracula did dracula originate in a nightmare what do we know of the relationship between stoker and his wife did stoker die of syphilis how did count dracula become a vampire does count dracula have any redeeming qualities how was the novel dracula received when published in 1897 what did stoker himself say about the novel why did stoker name his vampire dracula why did he select transylvania as the vampires homeland how much did stoker really know about vlad the impaler was vlad ever associated with vampire legends what are our main sources of information about vlad why do many romanians consider vlad to be a national hero which of the dracula movies is the best adaptation of stokers novel what impact has dracula had on subsequent vampire fiction why does count dracula have such enduring appeal how do romanians feel about dracula tourism in their country is there a real castle dracula what are some of the interpretations of dracula is dracula a classic and many many more depending on the complexity of the questions the answers range from 56 lines to several pages at the end of each chapter there is a shortlist for further reading at the end of the book there is a comprehensive bibliography,4.23,Non-Fiction
Gunslinger Girl,Yu Aida,comics & graphic novels,http://books.google.com/books/content?id=1PgUyf2ebqIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,when henrietta barely survives a brutal attack that killed her family she is rescued by the social welfare agency who repairs her body with robotic components and brainwashes her to forget her past and become a lethal cyborg assassin,3.86,Fiction
Pretear,Kaori Naruse;Junichi Satou,comics & graphic novels,http://books.google.com/books/content?id=RuR4lHrRzjwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,himenos troublesome life changes dramatically when she meets a young boy who transports her to a fantasy world desperately in need of help from a girl called pretear,3.96,Fiction
Shaken,Jerry B. Jenkins;Tim F. LaHaye;Chris Fabry,juvenile fiction,http://books.google.com/books/content?id=mEXkmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,the members of the young trib force continue their struggle against the forces of evil in the aftermath of a worldwide earthquake,4.3,Children
The Regime,Tim F. LaHaye;Jerry B. Jenkins,fiction,http://books.google.com/books/content?id=mIW6HAbUDLMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,the second prequel traces the rise of the antichrist and the journey of the main charactersincluding rayford chloe and bucktoward the rapture where the sevenyear tribulation awaits them,4.11,Fiction
The Rapture,Tim F. LaHaye;Jerry B. Jenkins,fiction,http://books.google.com/books/content?id=mjNZAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,when nicolae carpathia the ruthless newly appointed president of romania speaks before the un millions of people disappear and are welcomed into the presence of god but for those who are left behind only the darkest days lie ahead,4.15,Fiction
Looking for God in Harry Potter,John Granger,literary criticism,http://books.google.com/books/content?id=2GZlm91NNEgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,provides a christian interpretation of the first six books arguing that the series supports biblical teaching as opposed to the practice of the occult and offers insights into character names imagery and themes,4.13,Non-Fiction
The Good Earth,Pearl S. Buck;Stephanie Reents,fiction,http://books.google.com/books/content?id=YshbngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,a chinese peasant overcomes the forces of nature and the frailties of human nature to become a wealthy landowner,3.98,Fiction
Oedipus the King,Sophocles;Frederic Will;Bernard Knox,drama,http://books.google.com/books/content?id=jn1bNT1eRbMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,each volume in a collection of affordable readable editions of some of the worlds greatest works of literature features a chronology of the authors life and career a concise introduction containing valuable background information a timeline of significant events an outline of key plot points and themes detailed explanatory notes critical analyses discussion questions and a list of recommended books and films,3.69,Fiction
Gulliver's Travels and A Modest Proposal,Jonathan Swift;Jesse Gale,fiction,http://books.google.com/books/content?id=WWBccP5LebcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,each volume in a collection of affordable readable editions of some of the worlds greatest works of literature features a chronology of the authors life and career a concise introduction containing valuable background information a timeline of significant events an outline of key plot points and themes detailed explanatory notes critical analyses discussion questions and a list of recommended books and films,3.79,Fiction
Dirty Little Secrets,Julie Leto,fiction,http://books.google.com/books/content?id=cLOax2a40x8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,usa today bestselling author julie leto launches a caliente new series featuring a sexy latina bounty hunter with an appetite for danger and an insatiable thirst for the man shes hunting down her ex when marisela morales sets out to stop her exboyfriend francisco vega from skipping out on bail she has a secret agenda revenge she hasnt seen frankie in ten years and back then he broke her heart choosing his gang over his girl so when she tracks him down in their old haunt a hot dance club in tampa she sets about seducing him into her trap frankie has a secret agenda too and marisela soon faces a tough choice continue drifting through her twentysomething life hitting the same town with the same girlfriends every weekend while struggling to find a job and pay the rent or dive headfirst into danger with her ex frankie operates in a treacherous underworld full of arms dealers assassins and sinister agendas a world overrun with people keeping dirty little secrets and only marisela has the cojones to fight her way to the truth sexy sultry and actionpacked dirty little secrets is a thrilling adventure in manhunting of the most dangerous kind,3.58,Fiction
The Voyage of the Jerle Shannara Trilogy,Terry Brooks,fantasy,http://books.google.com/books/content?id=jqVsAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,when the body of a halfdrowned elf is found floating in the seas of the blue divide an old mystery resurfaces thirty years ago an expedition in search of a legendary ancient magic set out but none who went ever returned until now for the rescued elf carries a map covered with mysterious symbols only one man can decipher that man is walker boh the last of the druids but one other person understands the maps significance the ilse witch a beautiful but twisted young woman who wields a magic as potent as walkers own she will stop at nothing to possess the map and the magic it leads to to stop her walker must find the magic first and thus begins the voyage of the sleek swift airship jerle shannara the company chosen by walker must fly into the face of unknown terrors while the ilse witch and her dark allies follow waiting to strike,4.26,Fiction
If You Dare,Kresley Cole,fiction,http://books.google.com/books/content?id=8EIlLgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,with if you dare cole introduces a thrilling new romance trilogy featuring fierce scottish brothers with dangerous lives dark desires and a deadly curse can he exact revenge high in the pyrenees a band of mercenaries led by courtland maccarrick wages war for general reynaldo pascal when court turns on the evil general pascal orders him killed but court narrowly escapes and exacts revenge by kidnapping pascals exquisite castilian fiance can she deny her passions lady annala tristn llorente despises her towering barbaric captor almost as much as she does pascal her inexplicable attraction to the highlander only fuels her fury but nothing will stop her from returning to pascal for if she doesnt wed him she signs her brothers death warrant as well as her own can there be love between them from the moment court discovers that annas prim faade masks a fiery brave lass his hearts ensnared and he dares to defy the curse that has shadowed his life to walk with death or walk alone but pascal vows that hell hunt the two never stopping until hes destroyed them both,4.0,Fiction
"Have Space Suit, Will Travel",Robert A. Heinlein,fiction,http://books.google.com/books/content?id=BG3SjVi5AvAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,teenager clifford kip russell wins second prize in a soap jingle contest a used worn spacesuit and while trying on his prize in his backyard suddenly finds himself on a space odyssey as a prisoner aboard the ship of a space pirate headed toward the moon and a series of encounters with many bizarre creatures and situations reprint 10000 first printing,3.89,Fiction
Tunnel in the Sky,Robert A. Heinlein,fiction,http://books.google.com/books/content?id=NPSP1e8xCNQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,a group of students goes through the gate to an unknown planet for a twototenday final exam in advanced survival only to realize after a period of fighting the elements and wildlife that something has gone wrong with the gate and what was a brief survival exam has become an endless struggle for life reprint 10000 first prinitng,3.93,Fiction
Citizen of the Galaxy,Robert A. Heinlein,fiction,http://books.google.com/books/content?id=wksN1qnkooAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,a youth who has known only the primitive life of a galaxy slave is purchased by a beggar who turns out to be a man with many extracurricular activities,3.98,Fiction
Where Are the Children?,Mary Higgins Clark,fiction,http://books.google.com/books/content?id=cWA5PwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,nancy harmon long ago fled the heartbreak of her first marriage the macabre deaths of her two little children and the shocking charges against her she changed her name dyed her hair and left california for the windswept peace of cape cod now remarried she has two more beloved children and the terrible pain has begun to heal until the morning when she looks in the backyard for her little boy and girl and finds only one red mitten she knows that the nightmare is beginning again,4.02,Fiction
Star Trek: Voyager: String Theory #3,Heather Jarman,fiction,http://books.google.com/books/content?id=CnaYmzPI1gwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,with captain janeway dying chakotay assumes command of the voyager only to be confronted by the disappearance of paris kim and the doctor while the federations old nemesis the cosmic meddler q sends two of the missing crewmembers on a voyage into the past and the conflict ranging in the monorhan system threatens to engulf the entire universe original,3.8,Fiction
Wind Rider's Oath,David Weber,fiction,http://books.google.com/books/content?id=DjVIPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,bahzell of the hradani is back exciting fantasy adventure by the new york times bestselling author of the honor harrington series first time in paperback in the war gods own bahzell had managed to stop a war by convincing baron tellian leader of the sothoii to surrender to him the war gods champion now he has journeyed to the sothoii wind plain to oversee the parole he granted to tellian and his men to represent the order of tomanak the war god and to be an ambassador for the hradani whats more the flying coursers of the sothoii have accepted bahzell as a wind riderthe first hradani wind rider in history and since the wind riders are the elite of the elite among the sothoii bahzells ascension is as likely to stir resentment as respect that combination of duties would have been enough to keep anyone busyeven a warrior prince like bahzellbut additional complications are bubbling under the surface the goddess shigu the queen of hell is sowing dissension among the war maids of the sothoii the supporters of the deposed sothoii noble who started the war are plotting to murder their new leige lord and frame bahzell for the deed of course those problems are all in a days work for a champion of the war god but what is bahzell going to do about the fact that baron tellians daughter and heir to the realm seems to be thinking that he is the only manor hradanifor her,4.02,Fiction
On Basilisk Station,David Weber,fiction,http://books.google.com/books/content?id=wfAcswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,instead of remaining out of sight during her assignment to a forlorn outpost spaceship commander honor harrington along with her vessel the fearless performs incredible flying maneuvers to stop a foreign takeover of a major space station,4.13,Fiction
